withdrawal_id,account_id,atm_id,amount,timestamp,is_fraud,case_id,is_synthetic
WD-000001,ACC-00768,ATM-075,600.07,2026-08-12 00:00:00,0,,True
WD-000002,ACC-00979,ATM-026,827.36,2026-08-26 03:00:00,0,,True
WD-000003,ACC-00976,ATM-013,2476.6,2026-08-23 04:00:00,0,,True
WD-000004,ACC-00255,ATM-060,4171.49,2026-08-17 02:00:00,0,,True
WD-000005,ACC-00448,ATM-047,1133.58,2026-08-18 20:00:00,0,,True
WD-000006,ACC-00686,ATM-152,3016.09,2026-08-22 18:00:00,0,,True
WD-000007,ACC-00934,ATM-030,4978.79,2026-08-27 12:00:00,0,,True
WD-000008,ACC-00069,ATM-183,4130.48,2026-09-02 07:00:00,0,,True
WD-000009,ACC-00905,ATM-111,4255.8,2026-08-10 15:00:00,0,,True
WD-000010,ACC-00143,ATM-007,1150.28,2026-09-08 20:00:00,0,,True
WD-000011,ACC-00472,ATM-139,4236.83,2026-09-07 10:00:00,0,,True
WD-000012,ACC-00421,ATM-015,4221.03,2026-08-19 15:00:00,0,,True
WD-000013,ACC-00676,ATM-008,3191.04,2026-08-19 16:00:00,0,,True
WD-000014,ACC-00266,ATM-025,4263.13,2026-08-12 19:00:00,0,,True
WD-000015,ACC-00967,ATM-022,1252.53,2026-08-19 14:00:00,0,,True
WD-000016,ACC-00769,ATM-158,2900.66,2026-08-21 20:00:00,0,,True
WD-000017,ACC-00907,ATM-200,2965.09,2026-08-13 08:00:00,0,,True
WD-000018,ACC-00919,ATM-029,509.15,2026-08-27 12:00:00,0,,True
WD-000019,ACC-00749,ATM-138,2567.88,2026-08-23 03:00:00,0,,True
WD-000020,ACC-00951,ATM-170,2590.27,2026-08-15 10:00:00,0,,True
WD-000021,ACC-00994,ATM-140,4647.57,2026-08-13 04:00:00,0,,True
WD-000022,ACC-00312,ATM-137,777.38,2026-08-17 09:00:00,0,,True
WD-000023,ACC-00463,ATM-092,2657.54,2026-08-18 05:00:00,0,,True
WD-000024,ACC-00585,ATM-113,4865.34,2026-08-29 22:00:00,0,,True
WD-000025,ACC-00955,ATM-003,2741.59,2026-09-09 12:00:00,0,,True
WD-000026,ACC-00266,ATM-139,329.43,2026-08-26 02:00:00,0,,True
WD-000027,ACC-00485,ATM-171,559.12,2026-08-15 07:00:00,0,,True
WD-000028,ACC-00863,ATM-049,1963.22,2026-09-08 03:00:00,0,,True
WD-000029,ACC-00610,ATM-104,548.37,2026-08-20 15:00:00,0,,True
WD-000030,ACC-00087,ATM-041,2603.4,2026-08-25 15:00:00,0,,True
WD-000031,ACC-00837,ATM-152,1425.04,2026-09-04 17:00:00,0,,True
WD-000032,ACC-00687,ATM-109,2842.48,2026-08-25 08:00:00,0,,True
WD-000033,ACC-00475,ATM-186,3785.57,2026-08-22 15:00:00,0,,True
WD-000034,ACC-00953,ATM-123,3356.46,2026-09-09 04:00:00,0,,True
WD-000035,ACC-00045,ATM-151,1837.74,2026-08-19 09:00:00,0,,True
WD-000036,ACC-00265,ATM-023,3971.57,2026-08-28 09:00:00,0,,True
WD-000037,ACC-00364,ATM-110,315.7,2026-08-12 19:00:00,0,,True
WD-000038,ACC-00658,ATM-064,967.44,2026-08-31 15:00:00,0,,True
WD-000039,ACC-00916,ATM-177,2810.74,2026-09-03 02:00:00,0,,True
WD-000040,ACC-00741,ATM-097,1834.81,2026-08-16 22:00:00,0,,True
WD-000041,ACC-00595,ATM-169,3383.14,2026-08-29 07:00:00,0,,True
WD-000042,ACC-00300,ATM-164,321.32,2026-08-21 23:00:00,0,,True
WD-000043,ACC-00719,ATM-164,1486.9,2026-08-22 00:00:00,0,,True
WD-000044,ACC-00393,ATM-140,1318.41,2026-09-01 17:00:00,0,,True
WD-000045,ACC-00440,ATM-007,1401.66,2026-08-25 03:00:00,0,,True
WD-000046,ACC-00156,ATM-017,2275.34,2026-09-05 19:00:00,0,,True
WD-000047,ACC-00347,ATM-027,1991.08,2026-09-05 01:00:00,0,,True
WD-000048,ACC-00594,ATM-195,1291.47,2026-08-20 23:00:00,0,,True
WD-000049,ACC-00282,ATM-139,2778.89,2026-09-09 20:00:00,0,,True
WD-000050,ACC-00991,ATM-147,4804.76,2026-08-17 05:00:00,0,,True
WD-000051,ACC-00273,ATM-137,2060.64,2026-08-18 20:00:00,0,,True
WD-000052,ACC-00234,ATM-158,301.33,2026-08-28 08:00:00,0,,True
WD-000053,ACC-00265,ATM-102,2449.67,2026-08-16 20:00:00,0,,True
WD-000054,ACC-00456,ATM-155,2921.18,2026-08-28 12:00:00,0,,True
WD-000055,ACC-00639,ATM-017,536.99,2026-09-08 06:00:00,0,,True
WD-000056,ACC-00850,ATM-029,2973.84,2026-08-16 13:00:00,0,,True
WD-000057,ACC-00255,ATM-092,3339.79,2026-08-21 16:00:00,0,,True
WD-000058,ACC-00835,ATM-042,4993.04,2026-08-14 06:00:00,0,,True
WD-000059,ACC-00732,ATM-105,629.01,2026-09-03 21:00:00,0,,True
WD-000060,ACC-00737,ATM-105,4482.77,2026-08-31 07:00:00,0,,True
WD-000061,ACC-00255,ATM-012,4599.92,2026-08-30 19:00:00,0,,True
WD-000062,ACC-00524,ATM-025,2062.98,2026-08-16 14:00:00,0,,True
WD-000063,ACC-00023,ATM-043,1865.55,2026-08-11 04:00:00,0,,True
WD-000064,ACC-00769,ATM-078,2528.4,2026-09-02 09:00:00,0,,True
WD-000065,ACC-00632,ATM-025,2201.7,2026-08-21 11:00:00,0,,True
WD-000066,ACC-00894,ATM-050,3515.37,2026-09-02 12:00:00,0,,True
WD-000067,ACC-00807,ATM-146,2140.32,2026-08-14 10:00:00,0,,True
WD-000068,ACC-00482,ATM-194,3727.64,2026-08-12 13:00:00,0,,True
WD-000069,ACC-00067,ATM-198,2627.36,2026-08-19 04:00:00,0,,True
WD-000070,ACC-00609,ATM-138,2908.85,2026-08-23 16:00:00,0,,True
WD-000071,ACC-00043,ATM-140,2751.1,2026-08-11 13:00:00,0,,True
